Feature,Importance
COH.A.delta.g.F8.l.T4,0.0
COH.A.delta.g.F8.m.T5,0.0
COH.A.delta.g.F8.n.P3,0.0
COH.A.delta.g.F8.o.Pz,0.0
COH.A.delta.g.F8.p.P4,0.0
COH.A.delta.g.F8.q.T6,0.0
COH.A.delta.g.F8.r.O1,0.0
COH.A.delta.g.F8.s.O2,0.0
COH.A.delta.h.T3.i.C3,0.0
COH.A.delta.h.T3.j.Cz,0.0
COH.A.delta.h.T3.k.C4,0.0
COH.A.delta.h.T3.l.T4,0.0
COH.A.delta.h.T3.m.T5,0.0
COH.A.delta.h.T3.n.P3,0.0
COH.A.delta.h.T3.o.Pz,0.0
COH.A.delta.h.T3.p.P4,0.0
COH.A.delta.h.T3.q.T6,0.0
COH.A.delta.h.T3.r.O1,0.0
COH.A.delta.h.T3.s.O2,0.0
COH.A.delta.i.C3.j.Cz,0.0
COH.A.delta.i.C3.k.C4,0.0
COH.A.delta.i.C3.l.T4,0.0
COH.A.delta.i.C3.m.T5,0.0
COH.A.delta.i.C3.n.P3,0.0
COH.A.delta.i.C3.o.Pz,0.0
COH.A.delta.i.C3.p.P4,0.0
COH.A.delta.i.C3.q.T6,0.0
COH.A.delta.i.C3.r.O1,0.0
COH.A.delta.i.C3.s.O2,0.0
COH.A.delta.j.Cz.k.C4,0.0
COH.A.delta.j.Cz.l.T4,0.0
COH.A.delta.j.Cz.m.T5,0.0
COH.A.delta.j.Cz.n.P3,0.0
COH.A.delta.j.Cz.o.Pz,0.0
COH.A.delta.j.Cz.p.P4,0.0
COH.A.delta.j.Cz.q.T6,0.0
COH.A.delta.j.Cz.r.O1,0.0
COH.A.delta.j.Cz.s.O2,0.0
COH.A.delta.k.C4.l.T4,0.0
COH.A.delta.k.C4.m.T5,0.0
COH.A.delta.k.C4.n.P3,0.0
COH.A.delta.k.C4.o.Pz,0.0
COH.A.delta.k.C4.p.P4,0.0
COH.A.delta.k.C4.q.T6,0.0
COH.A.delta.k.C4.r.O1,0.0
COH.A.delta.k.C4.s.O2,0.0
COH.A.delta.l.T4.m.T5,0.0
COH.A.delta.l.T4.n.P3,0.0
COH.A.delta.l.T4.o.Pz,0.0
COH.A.delta.l.T4.p.P4,0.0
COH.A.delta.l.T4.q.T6,0.0
COH.A.delta.l.T4.r.O1,0.0
COH.A.delta.l.T4.s.O2,0.0
COH.A.delta.m.T5.n.P3,0.0
COH.A.delta.m.T5.o.Pz,0.0
COH.A.delta.m.T5.p.P4,0.0
COH.A.delta.m.T5.q.T6,0.0
COH.A.delta.m.T5.r.O1,0.0
COH.A.delta.m.T5.s.O2,0.0
COH.A.delta.n.P3.o.Pz,0.0
COH.A.delta.n.P3.p.P4,0.0
COH.A.delta.n.P3.q.T6,0.0
COH.A.delta.n.P3.r.O1,0.0
COH.A.delta.n.P3.s.O2,0.0
COH.A.delta.o.Pz.p.P4,0.0
COH.A.delta.o.Pz.q.T6,0.0
COH.A.delta.o.Pz.r.O1,0.0
COH.A.delta.o.Pz.s.O2,0.0
COH.A.delta.p.P4.q.T6,0.0
COH.A.delta.p.P4.r.O1,0.0
COH.A.delta.p.P4.s.O2,0.0
COH.A.delta.q.T6.r.O1,0.0
COH.A.delta.q.T6.s.O2,0.0
COH.A.delta.r.O1.s.O2,0.0
COH.B.theta.a.FP1.b.FP2,0.0
COH.B.theta.a.FP1.c.F7,0.0
COH.B.theta.a.FP1.d.F3,0.0
COH.B.theta.a.FP1.e.Fz,0.0
COH.B.theta.a.FP1.f.F4,0.0
COH.B.theta.a.FP1.g.F8,0.0
COH.B.theta.a.FP1.h.T3,0.0
COH.B.theta.a.FP1.i.C3,0.0
COH.B.theta.a.FP1.j.Cz,0.0
COH.B.theta.a.FP1.k.C4,0.0
COH.B.theta.a.FP1.l.T4,0.0
COH.B.theta.a.FP1.m.T5,0.0
COH.B.theta.a.FP1.n.P3,0.0
COH.B.theta.a.FP1.o.Pz,0.0
COH.B.theta.a.FP1.p.P4,0.0
COH.B.theta.a.FP1.q.T6,0.0
COH.B.theta.a.FP1.r.O1,0.0
COH.B.theta.a.FP1.s.O2,0.0
COH.B.theta.b.FP2.c.F7,0.0
COH.B.theta.b.FP2.d.F3,0.0
COH.B.theta.b.FP2.e.Fz,0.0
COH.B.theta.b.FP2.f.F4,0.0
COH.B.theta.b.FP2.g.F8,0.0
COH.B.theta.b.FP2.h.T3,0.0
COH.B.theta.b.FP2.i.C3,0.0
COH.B.theta.b.FP2.j.Cz,0.0
COH.B.theta.b.FP2.k.C4,0.0
COH.B.theta.b.FP2.l.T4,0.0
COH.B.theta.b.FP2.m.T5,0.0
COH.B.theta.b.FP2.n.P3,0.0
COH.B.theta.b.FP2.o.Pz,0.0
COH.B.theta.b.FP2.p.P4,0.0
COH.B.theta.b.FP2.q.T6,0.0
COH.B.theta.b.FP2.r.O1,0.0
COH.B.theta.b.FP2.s.O2,0.0
COH.B.theta.c.F7.d.F3,0.0
COH.B.theta.c.F7.e.Fz,0.0
COH.B.theta.c.F7.f.F4,0.0
COH.B.theta.c.F7.g.F8,0.0
COH.B.theta.c.F7.h.T3,0.0
COH.B.theta.c.F7.i.C3,0.0
COH.B.theta.c.F7.j.Cz,0.0
COH.B.theta.c.F7.k.C4,0.0
COH.B.theta.c.F7.l.T4,0.0
COH.B.theta.c.F7.m.T5,0.0
COH.B.theta.c.F7.n.P3,0.0
COH.B.theta.c.F7.o.Pz,0.0
COH.B.theta.c.F7.p.P4,0.0
COH.B.theta.c.F7.q.T6,0.0
COH.B.theta.c.F7.r.O1,0.0
COH.B.theta.d.F3.e.Fz,0.0
COH.B.theta.d.F3.f.F4,0.0
COH.B.theta.d.F3.g.F8,0.0
COH.B.theta.d.F3.h.T3,0.0
COH.B.theta.d.F3.i.C3,0.0
COH.B.theta.d.F3.j.Cz,0.0
COH.B.theta.d.F3.k.C4,0.0
COH.B.theta.d.F3.l.T4,0.0
